month,0_总指数,0_农产品,0_矿产品,0_煤油电,1_国外资产,1_储备资产,1_准备金存款,1_库存现金,1_对政府债权,1_对中央银行债权,1_对其他存款性公司债权,1_对其他金融机构债权,1_对非金融机构债权,1_对其他居民部门债权,1_其他资产,1_对非金融机构及住户负债,1_纳入广义货币的存款,1_单位活期存款,1_单位定期存款,1_个人存款,1_不纳入广义货币的存款,1_可转让存款,1_其他存款,1_其他负债,1_对中央银行负债,1_对其他存款性公司负债,1_对其他金融性公司负债,1_国外负债,1_债券发行,1_实收资本,1_其他负债.1,1_总负债,2_国外净资产,2_国内信贷,2_对政府债权(净),2_对非金融部门债权,2_对其他金融部门债权,2_货币和准货币,2_货币,2_流通中现金,2_活期存款,2_准货币,2_定期存款,2_储蓄存款,2_其他存款,2_不纳入广义货币的存款,2_债券,2_实收资本,2_其他(净),3_一特别提款权单位折合人民币(期末数),3_一美元折合人民币(期末数),3_一美元折合人民币(平均数),4_M0,4_M1,4_M2,5_外汇,5_货币黄金,5_其他国外资产,5_对政府债权,5_对其他存款性公司债权,5_对其他金融性公司债权,5_对非金融性公司债权,5_其他资产,5_货币发行,5_其他存款,5_不计入储备货币的金融性公司存款,5_发行债券,5_国外负债,5_政府存款,5_自有资金,5_其他负债,5_总负债,6_各项存款,6_流通中货币,6_对国际金融机构负债,6_各项贷款,6_在国际金融机构资产,6_资金运用总计,7_各项存款,7_各项贷款,7_资金运用总计,8_各项存款,8_对国际金融机构负债,8_各项贷款,8_在国际金融机构资产,8_资金运用总计
2008/11,99.6,100.2,93.6,107.8,22631.93,86937.05,84087.93,2849.12,30105.5,40261.63,72514.63,12651.8,262236.34,56575.56,41010.48,432722.56,418554.58,126219.27,81146.82,211188.49,10815.72,4068.1,6747.62,3352.26,6096.55,30723.68,31294.72,5356.2,41081.03,20317.25,3352.26,624924.92,176483.81,362521.42,18930.13,318856.02,24735.27,458644.65,157826.61,31607.34,126219.27,300818.04,81146.82,211188.49,8482.73,10815.72,41081.03,20537.0,7926.83,10.1701,6.8349,6.8286,31607.36,157826.63,458644.66,147032.37,337.24,12571.74,16233.94,8442.71,12083.47,44.12,8054.98,34456.46,84876.25,578.03,46527.1,733.27,27409.31,219.75,10000.4,204800.57,462369.22,31607.36,733.27,295749.55,929.93,528220.03,1741.55,2483.64,4889.14,474272.44,733.27,312725.13,929.93,388463.57
2008/12,96.9,98.6,89.2,96.2,22303.06,93915.32,91018.52,2896.8,30202.44,42682.96,75741.12,12450.53,268459.83,57136.94,38609.49,447253.45,432139.38,131998.17,82339.85,217801.36,11210.92,4339.16,6871.76,3903.15,4610.03,32580.25,32029.82,5143.38,42335.28,21751.08,3903.15,641501.69,178970.61,379378.67,29434.59,325640.89,24303.19,475166.6,166217.13,34218.96,131998.17,308949.47,82339.85,217801.36,8808.26,11210.92,42335.28,21970.83,7665.65,10.5271,6.8346,6.8424,34218.96,166217.13,475166.6,149624.26,337.24,12582.02,16195.99,8432.5,11852.66,44.12,8027.2,37115.76,92106.57,591.2,45779.83,732.59,16963.84,219.75,13586.45,207095.99,466203.32,34218.96,732.59,303394.64,940.73,538405.59,1791.03,2436.71,4841.64,478444.21,732.59,320048.68,940.73,395583.86
2009/1,95.8,98.0,88.0,90.6,21569.81,87720.04,81129.76,6590.29,30167.08,49417.44,74328.5,12493.56,283838.53,58290.46,44365.26,460619.73,446289.42,124132.6,89008.3,233148.52,10484.83,3920.89,6563.94,3845.48,4537.59,35870.16,33252.14,5076.63,42591.06,21786.54,3845.48,662190.68,179453.17,395264.38,28744.97,342173.11,24346.31,496136.64,165214.97,41082.37,124132.6,330921.66,89008.3,233148.52,8764.85,10484.83,42591.06,22006.29,3498.74,10.2017,6.838,6.8382,41082.37,165214.34,496135.31,150784.95,337.24,12609.31,16195.99,8378.06,11852.75,44.12,8052.7,47672.66,81980.78,580.49,43521.21,771.49,17618.11,219.75,15890.62,208255.12,481592.11,41082.37,771.49,319921.84,962.22,557331.16,1919.71,2351.44,4560.18,494719.07,771.49,336000.97,962.22,411933.07
2009/2,94.0,94.4,87.4,88.3,21524.67,89521.67,86378.04,3143.64,30201.44,56411.06,79364.47,12931.77,293160.82,58734.35,44081.03,474095.02,460945.87,131007.96,92513.4,237424.52,10607.89,4263.52,6344.38,2541.26,4572.08,39774.11,37688.4,4917.88,43090.9,21803.94,2541.26,685931.28,180935.3,406021.93,29298.12,351939.29,24784.51,506708.08,166149.6,35141.64,131007.96,340558.48,92513.4,237424.52,10620.57,10607.89,43090.9,22023.69,4526.66,10.0337,6.8379,6.8357,35141.64,166149.6,506708.07,152156.59,337.24,12606.17,16195.99,8384.18,11852.74,44.12,8039.51,38285.28,87161.62,580.93,42238.11,771.49,17099.31,219.75,23260.04,209616.55,498100.3,35141.64,771.49,330637.71,959.25,569657.7,1969.99,2309.34,4552.48,511570.92,771.49,346428.75,959.25,422363.35
2009/3,93.4,96.5,85.0,88.1,21607.56,89606.9,86499.55,3107.35,30400.55,62440.15,84039.76,13702.09,310058.1,61297.25,41661.51,499296.45,486194.39,142794.71,100344.77,243054.91,10791.47,4256.54,6534.93,2310.59,4676.18,42876.53,38685.68,4854.51,43597.14,21834.11,2310.59,714813.86,182053.86,427576.65,30642.58,371399.47,25534.59,530626.71,176541.13,33746.42,142794.71,354085.58,100344.77,243054.91,10685.9,10791.47,43597.14,22053.86,2561.33,10.2201,6.8359,6.8341,33746.42,176541.13,530626.71,153130.79,337.24,12583.1,16195.99,8457.45,11832.51,44.12,8061.47,36853.77,87422.89,596.49,41295.83,750.32,15953.96,219.75,27549.65,210642.67,522618.72,33746.42,750.32,349554.82,939.59,590692.88,2002.77,2351.96,4537.75,536309.48,750.32,365632.58,939.59,442296.85
2009/4,92.9,96.1,86.0,87.4,21215.11,89068.76,86230.0,2838.76,31174.72,63883.59,84988.98,13427.57,316300.87,62769.54,42207.57,507680.87,494608.74,143956.3,106430.69,244221.74,10952.28,4312.54,6639.74,2119.86,4680.68,42674.02,40437.76,4771.51,44007.75,21907.35,2119.86,725036.71,183697.03,433929.61,29555.22,379114.54,25259.86,540481.21,178213.57,34257.27,143956.3,362267.65,106430.69,244221.74,11615.21,10952.28,44007.75,22127.1,58.29,10.2227,6.825,6.8312,34257.27,178213.57,540481.21,154769.11,669.84,12570.64,16195.99,8479.29,11832.29,44.12,7713.29,37096.03,87170.35,605.8,40795.63,756.17,17815.49,219.75,27815.35,212274.58,532941.05,34257.27,756.17,355472.82,945.7,601298.61,2041.97,2427.51,4559.85,546877.47,756.17,372040.54,945.7,451776.68
2009/5,92.4,95.8,85.1,87.1,19999.66,88385.1,85283.05,3102.05,33150.27,65299.69,87643.2,14380.32,322397.35,64651.51,42471.08,516047.23,503077.93,148466.06,108461.25,246150.61,11025.15,4564.56,6460.59,1944.16,4716.55,45043.78,41158.02,4802.34,44127.98,21951.17,1944.16,738378.18,185365.6,440462.11,27168.08,387092.81,26201.21,548263.51,182025.58,33559.52,148466.06,366237.93,108461.25,246150.61,11626.06,11025.15,44127.98,22170.92,240.15,10.5769,6.8324,6.8245,33559.52,182025.58,548263.51,157638.26,669.84,12584.98,16195.99,8512.79,11820.89,43.96,8556.07,36661.56,86116.35,627.96,41415.23,724.8,22178.18,219.75,28078.94,216022.78,546300.02,33559.52,724.8,362141.69,947.43,613188.47,2060.19,2581.97,4537.75,560376.04,724.8,379782.76,947.43,462133.12
2009/6,92.0,95.5,85.2,85.7,19477.24,89480.62,86401.08,3079.54,34624.11,63923.7,90116.57,14532.78,336876.55,67684.34,42091.86,534415.7,521212.01,159497.17,112491.19,249223.66,11134.71,4644.33,6490.39,2068.97,4778.02,44351.85,43247.13,4769.32,45256.76,22047.87,2068.97,758807.79,185839.3,457598.38,26684.95,404604.85,26308.58,568916.2,193138.15,33640.98,159497.17,375778.05,112491.19,249223.66,14063.21,11134.71,45256.76,22267.62,-4137.63,10.6047,6.8319,6.8332,33640.98,193138.15,568916.2,159281.11,669.84,11903.75,16073.8,7483.52,11775.8,43.96,8553.62,36720.53,87209.21,629.38,41208.84,723.32,24012.97,219.75,25061.4,215785.39,566288.11,33640.98,723.32,377446.12,950.24,632463.3,2081.27,2954.0,4867.24,580507.15,723.32,397627.57,950.24,482586.07
2009/7,92.0,96.3,84.2,85.0,18749.95,89856.25,86988.54,2867.71,35734.75,60828.07,86409.03,15152.37,339693.8,70129.91,43707.0,534412.4,521245.63,161649.96,110368.63,249227.04,11169.4,4756.95,6412.45,1997.37,4709.9,40290.58,47313.4,4996.45,46122.43,22168.8,1997.37,760261.15,186482.66,461201.98,24433.9,409867.67,26900.41,573102.85,195889.26,34239.3,161649.96,377213.59,110368.63,249227.04,17617.92,11169.4,46122.43,22388.55,-5098.58,10.6128,6.8323,6.832,34239.3,195889.27,573102.85,160877.98,669.84,11928.28,16073.8,7512.98,11748.04,43.96,8471.42,37107.01,87638.85,634.7,40460.42,746.94,27374.66,219.75,23143.97,217326.3,570390.73,34239.3,746.94,381137.61,974.13,640992.46,2074.61,3064.1,4863.39,584565.08,746.94,402072.46,974.13,489205.42
2009/8,92.9,97.3,87.3,83.9,17992.38,89152.74,85962.32,3190.42,36770.4,61851.63,85143.82,13802.07,342963.56,72633.09,45540.32,536487.32,523269.53,165988.21,108825.75,248455.58,11237.17,4810.41,6426.76,1980.62,4953.32,39891.48,48379.18,4617.14,47004.78,22298.09,1980.62,765850.0,187320.12,465028.43,23848.11,415640.61,25539.72,576698.95,200394.83,34406.62,165988.21,376304.13,108825.75,248455.58,19022.81,11237.17,47004.78,22517.84,-5110.19,10.6981,6.8312,6.8322,34406.62,200394.83,576698.95,162093.25,669.84,11928.72,16064.88,7553.54,11737.65,43.96,8473.85,37597.04,86939.03,635.41,40081.2,746.93,28987.17,219.75,23359.14,218565.68,573939.55,34406.62,746.93,385241.19,976.33,648036.93,2064.86,3256.51,4933.59,588045.01,746.93,407487.07,976.33,495710.84
2009/9,94.1,100.0,89.2,87.2,17001.97,95761.64,92044.75,3716.9,37028.03,56886.81,86950.4,13970.25,347348.43,75413.94,45995.47,547732.77,534432.38,164920.25,113899.97,255612.15,11020.25,4578.37,6441.88,2280.15,4986.96,40990.81,44082.35,4600.54,48282.9,22465.46,2280.15,776356.95,191374.75,473934.63,25457.06,422806.32,25671.25,585405.34,201708.14,36787.89,164920.25,383697.2,113899.97,255612.15,14185.08,11020.25,48282.9,22685.21,-2084.31,10.8197,6.829,6.8289,36787.89,201708.14,585405.34,166460.89,669.84,12589.51,15676.74,7591.72,11701.0,43.96,7817.24,40504.78,92901.86,635.72,39915.61,746.92,27247.71,219.75,20378.54,222550.91,583987.21,36787.89,746.92,390407.85,1743.09,659463.37,2032.47,3433.44,4925.7,597866.92,746.92,413854.83,1743.09,503986.59
2009/10,96.3,100.3,97.4,90.1,16668.24,93051.56,89881.28,3170.28,37114.2,59468.07,86431.39,14081.49,350307.24,76975.79,47561.14,547288.44,533701.15,171815.52,108809.28,253076.36,11151.95,4890.17,6261.78,2435.34,4996.73,40810.8,47103.54,4725.64,49210.61,22498.21,2435.34,781659.13,193205.09,475583.94,22488.9,427326.99,25768.05,586643.29,207545.74,35730.23,171815.52,379097.55,108809.28,253076.36,17211.91,11151.95,49210.61,22717.96,-934.77,10.8559,6.8281,6.8275,35730.23,207545.74,586643.29,168974.86,669.84,12364.71,15676.74,7778.7,11686.56,43.96,7796.17,38900.51,89875.82,623.91,40563.08,746.92,30302.04,219.75,23759.51,224991.54,586884.01,35730.23,746.92,392937.64,1758.7,665851.21,2036.35,3596.34,5000.42,600788.38,746.92,417493.79,1758.7,508983.02
2009/11,100.4,104.7,108.1,97.5,15535.19,95413.04,92129.06,3283.98,38058.99,57962.53,88853.52,15319.68,354218.69,79353.04,49405.24,552936.36,538882.23,176149.34,109074.98,253657.91,11528.66,5038.68,6489.98,2525.46,5149.16,40222.17,48866.89,4744.8,51442.53,22664.41,2525.46,794119.91,193683.64,483527.17,22967.91,433615.69,26943.58,594604.72,212493.2,36343.86,176149.34,382111.52,109074.98,253657.91,19378.63,11528.66,51442.53,22884.16,-3249.27,10.993,6.8272,6.8274,36343.86,212493.2,594604.72,171638.58,669.84,11343.22,15676.74,8752.4,11623.9,43.96,7858.49,39627.84,94046.62,623.97,40447.01,758.39,30767.82,219.75,21115.73,227607.14,592719.76,36343.86,758.39,395885.31,1781.12,674171.65,2049.38,3761.95,5062.97,606711.32,758.39,421568.89,1781.12,515724.97
2009/12,103.4,107.7,113.8,109.4,17807.23,104575.53,101266.7,3308.83,38052.8,54632.29,97914.51,16977.72,349884.36,83655.67,46317.91,571062.51,556866.23,183198.83,113430.66,260236.74,11789.49,5299.98,6489.51,2406.79,5584.46,44022.12,42161.59,6018.75,51924.52,23130.83,2406.79,809818.02,196359.75,494580.27,32488.42,433583.99,28507.87,610224.52,221445.81,38246.97,183198.83,388778.72,113430.66,260236.74,15111.32,11789.49,51924.52,23350.59,-6349.1,10.7045,6.8282,6.8279,38246.97,221445.81,610224.52,175154.59,669.84,9508.57,15661.97,7161.92,11530.15,43.96,7804.03,41555.8,102429.2,624.77,42064.21,761.72,21226.36,219.75,18653.2,227535.02,597741.1,38245.97,761.72,399684.82,1764.51,681874.78,2089.17,3794.82,5346.62,612006.35,761.72,425596.6,1764.51,520795.57
2010/1,104.5,107.9,114.9,115.8,17287.65,101002.36,97411.78,3590.59,37313.41,53961.17,104336.92,15995.79,360176.55,88004.84,49384.0,582501.66,567966.43,188830.4,116340.51,262795.52,12081.15,5355.96,6725.19,2454.07,5431.18,46011.22,44019.81,5901.19,52343.3,23185.51,2454.07,827462.68,198661.51,503451.44,27700.18,448225.35,27525.91,625609.29,229588.98,40758.58,188830.4,396020.31,116340.51,262795.52,16884.28,12081.15,52343.3,23405.26,-11326.05,10.6105,6.827,6.8273,40758.58,229588.98,625609.29,177869.14,669.84,9482.77,15661.97,7129.5,11530.12,43.96,7827.41,44349.17,98470.41,641.77,42380.8,746.7,25275.2,219.75,18130.91,230214.71,612877.26,40758.58,746.69,413679.6,1740.07,697196.96,2092.96,3888.37,5313.77,627165.87,746.69,440225.49,1740.07,533493.15
2010/2,105.7,111.1,113.4,119.2,16942.49,108684.98,103362.92,5322.06,36460.79,48515.19,105864.17,15141.87,366521.32,89990.06,49674.38,593448.46,578989.83,181421.17,119190.13,278378.53,12220.44,5303.5,6916.94,2238.19,5467.12,45262.54,41560.61,5730.06,52834.69,23206.84,2238.19,837795.25,200024.0,512449.0,29225.92,456555.34,26667.74,636072.26,224286.95,42865.79,181421.17,411785.31,119190.13,278378.53,14216.65,12220.44,52834.69,23426.6,-12080.99,10.4628,6.8269,6.827,42865.79,224286.95,636072.26,179412.38,669.84,9476.04,15625.89,7186.46,11525.86,43.96,7823.51,48187.85,104441.56,641.82,41403.32,746.7,22860.75,219.75,13262.19,231763.94,622436.84,42865.79,746.7,420678.38,1733.46,705516.06,2117.83,3985.63,5352.45,636895.08,746.7,447887.99,1733.46,540557.54
2010/3,105.6,108.3,115.4,117.7,16957.97,109344.86,105589.35,3755.51,36943.41,52990.72,119775.94,16809.34,370545.6,92785.79,51415.87,608534.84,593611.4,190317.35,122943.73,280350.33,12389.58,5371.65,7017.93,2533.86,5569.57,52269.98,44984.13,6050.21,53417.61,23305.17,2533.86,867569.51,202280.02,521017.53,29318.27,463375.35,28323.92,649947.46,229397.93,39080.58,190317.35,420549.53,122943.73,280350.33,17255.48,12389.58,53417.61,23524.93,-15982.02,10.364,6.8263,6.8264,39080.58,229397.93,649947.46,182310.84,669.84,9138.28,15625.89,8618.22,11514.57,43.96,8169.07,42836.09,107196.75,649.58,43442.31,746.69,23251.03,219.75,17748.46,236090.67,638090.42,39080.58,746.7,425785.27,1724.03,715020.29,2133.54,4082.67,5416.96,652654.62,746.7,453654.79,1724.03,547986.79
2010/4,106.6,110.0,115.6,117.6,15793.48,106106.69,102690.46,3416.23,37226.71,56334.43,120385.2,16147.36,377003.36,96013.42,53483.78,616751.57,601906.91,194252.22,127802.17,279852.51,12191.05,5204.14,6986.91,2653.61,5688.0,51882.97,44100.17,6884.35,53635.02,23518.96,2653.61,878494.44,204029.4,526907.13,26190.5,473060.74,27655.9,656561.22,233909.76,39657.54,194252.22,422651.46,127802.17,279852.51,14996.77,12191.05,53635.02,23738.71,-15189.46,10.3153,6.8263,6.8262,39657.54,233909.76,656561.22,186058.1,669.84,9133.86,15621.19,8715.65,11508.53,43.96,8169.4,43073.77,103954.07,653.14,45610.23,741.53,26657.41,219.75,19010.63,239920.53,649915.56,39657.54,741.53,433525.27,1719.61,727276.47,2043.41,4134.42,5344.55,663864.47,741.53,461748.06,1719.61,557709.35
2010/5,107.1,112.0,116.8,117.3,15916.4,107131.28,103674.34,3456.94,37971.76,54009.24,119164.15,15429.12,381558.56,98634.67,56444.78,623287.5,608685.01,197844.91,130292.5,280547.6,12082.26,5227.98,6854.28,2520.23,5717.98,50123.64,43813.01,6659.85,54674.17,23581.65,2520.23,886259.96,205406.14,530425.34,23250.77,480237.2,26937.38,663351.37,236497.88,38652.97,197844.91,426853.49,130292.5,280547.6,16013.39,12082.26,54674.17,23801.4,-18077.72,10.0667,6.828,6.8274,38652.97,236497.88,663351.37,187177.63,669.84,9021.35,15621.19,8822.75,11508.26,43.96,8431.01,42109.91,105018.33,623.59,46058.44,719.23,30342.19,219.75,16204.56,241296.0,660756.78,38652.97,719.24,440018.15,1673.54,736923.52,2024.57,4120.5,5328.43,674580.57,719.24,468152.92,1673.54,565782.95
